# Data file: coherence.h5
# Mask file: mask.h5
# AOI box: (0, 0, 1396, 1146)
#   DATE12        Mean      Btemp/days   Bperp/m   Num
070221-070709    0.9158         138       -49.2     2
070221-070824    0.9066         184        13.8     3
070221-071009    0.8824         230      -228.8     4
070221-080224    0.8421         368      -578.6     6

070709-070824    0.9533          46        62.9     14
070709-071009    0.9191          92      -179.7     15
070709-071124    0.9149         138      -240.7     16

070824-071009    0.9831          46      -242.5     27
070824-071124    0.9745          92      -303.5     28
070824-080711    0.9477         322      -137.4     32
070824-080826    0.9202         368         2.9     33

071009-071124    0.9369          46       -60.9     39
071009-080224    0.8895         138      -350.1     40
071009-080711    0.8908         276       105.3     43

071124-080224    0.9126          92      -289.2     52
071124-080410    0.8960         138      -306.0     53
071124-080711    0.9022         230       166.2     55

080224-080410    0.9303          46       -16.7     65
080224-080526    0.9210          92      -406.0     66
080224-080711    0.9074         138       455.0     67

080410-080526    0.9259          46      -389.2     75
080410-080711    0.9110          92       471.5     76
080410-080826    0.8911         138       611.5     77
080410-090226    0.8279         322       712.0     78

080526-080711    0.9200          46       861.1     85

080711-080826    0.9328          46       140.3     91
080711-081011    0.8971          92       800.0     92
080711-090226    0.8772         230       240.6     95

080826-081011    0.9197          46       659.7     102
080826-090226    0.8918         184       100.3     105

081011-090111    0.9025          92       -50.1     113
081011-090226    0.8748         138      -559.5     114

081126-090111    0.9384          46       -29.8     118
081126-090226    0.9163          92      -539.3     119
